STT,Đạm (N) mg/kg,Lân (P) mg/kg,Kali (K) mg/kg,Thang đánh giá
88,130,40,160,Trung bình đến giàu
89,70,28,130,Trung bình
90,110,20,150,Trung bình
91,95,22,130,Trung bình đến giàu
92,90,35,160,Trung bình đến giàu
93,120,30,180,Trung bình đến giàu
94,130,45,180,Trung bình đến giàu
95,120,30,150,Trung bình đến giàu
96,80,22,110,Trung bình
97,70,5,100,"Thấp, nghèo"
98,130,38,160,Trung bình đến giàu
99,130,10,120,Trung bình
100,90,22,150,Trung bình đến giàu
101,80,30,140,Trung bình
102,70,15,90,"Thấp, nghèo"
103,85,30,120,Trung bình
104,95,40,140,Trung bình đến giàu
105,110,25,160,Trung bình đến giàu
106,130,28,160,Trung bình đến giàu
107,100,35,160,Trung bình đến giàu
108,120,30,140,Trung bình đến giàu
109,75,40,100,Trung bình đến giàu
110,120,38,160,Trung bình đến giàu
111,60,18,100,"Thấp, nghèo"
112,130,25,170,Trung bình đến giàu
113,60,35,80,"Thấp, nghèo"
114,130,45,170,Trung bình đến giàu
115,140,25,210,Trung bình đến giàu
116,90,35,160,Trung bình đến giàu
117,80,25,130,Trung bình
118,105,40,180,Trung bình đến giàu
119,95,40,140,Trung bình đến giàu
120,60,20,110,Trung bình
121,110,10,90,Trung bình
122,115,20,110,Trung bình
123,60,10,120,"Thấp, nghèo"
124,75,15,120,Trung bình
125,70,30,120,Trung bình
126,95,18,130,Trung bình
127,60,9,110,"Thấp, nghèo"
128,80,20,140,Trung bình
129,130,25,180,Trung bình đến giàu
130,120,35,190,Trung bình đến giàu
131,120,25,180,Trung bình đến giàu
132,100,38,150,Trung bình đến giàu
133,80,25,100,"Thấp, nghèo"
134,75,15,120,Trung bình
135,80,20,140,Trung bình
136,90,22,130,Trung bình
137,80,25,120,Trung bình
138,85,38,160,Trung bình đến giàu
139,120,32,150,Trung bình đến giàu
140,85,40,150,Trung bình đến giàu
141,50,10,100,"Thấp, nghèo"
142,85,25,120,Trung bình
143,130,45,180,Trung bình đến giàu
144,130,40,150,Trung bình đến giàu
145,110,45,200,Trung bình đến giàu
146,115,30,180,Trung bình đến giàu
147,90,18,140,Trung bình
148,110,45,170,Trung bình đến giàu
149,50,20,130,Trung bình
150,110,18,130,Trung bình
151,193,13,189,Trung bình đến giàu
152,138,10,96,"Thấp, nghèo"
153,143,17,209,Trung bình đến giàu
154,156,53,79,Trung bình đến giàu
155,112,13,220,Trung bình đến giàu
156,96,19,200,Trung bình
157,87,36,112,Trung bình
158,142,6,73,"Thấp, nghèo"
159,116,36,186,Trung bình đến giàu
160,97,7,52,"Thấp, nghèo"
161,62,10,57,"Thấp, nghèo"
162,149,33,132,Trung bình đến giàu
163,146,5,180,Trung bình
164,68,9,202,Trung bình
165,135,51,214,Rất giàu
166,99,47,154,Trung bình đến giàu
167,68,5,100,"Thấp, nghèo"
168,90,53,96,Trung bình
169,99,32,131,Trung bình
170,196,14,129,Trung bình
171,108,39,65,Trung bình
172,92,59,186,Trung bình đến giàu
173,62,38,148,Trung bình
174,195,14,225,Trung bình đến giàu
175,118,50,98,Trung bình
176,169,24,101,Trung bình đến giàu
177,161,47,212,Rất giàu
178,79,38,99,Trung bình
179,176,27,167,Trung bình đến giàu
180,151,17,60,Trung bình
181,102,57,74,Trung bình
182,165,52,226,Rất giàu
183,110,49,169,Trung bình đến giàu
184,145,40,225,Trung bình đến giàu
185,85,24,191,Trung bình đến giàu
186,120,56,85,Trung bình
187,167,8,157,Trung bình
188,72,31,195,Trung bình đến giàu
189,89,39,163,Trung bình đến giàu
190,171,5,59,Trung bình
191,117,22,208,Trung bình đến giàu
192,109,15,78,Trung bình
193,141,27,53,Trung bình
194,126,5,88,"Thấp, nghèo"
195,71,56,178,Trung bình đến giàu
196,171,7,100,Trung bình
197,166,21,224,Rất giàu
198,137,38,133,Trung bình đến giàu
199,79,45,130,Trung bình đến giàu
200,148,29,142,Trung bình đến giàu
